SENS_AOA=0
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"," x_Sens","y_Sens"
13860, 1.386015114843455e-01, -2.769923185188659e-02, -4.988785634874810e-06, 3.318083415377810e-06, 1.985643140388330e-08, 3.860782543350000e-01, 2.514349200980000e-02, -1.189195475129716e-01, 7.162106653198705e-02
13861, 1.362673037622423e-01, -2.775122785779680e-02, -4.995831031264227e-06, 3.328756663438958e-06, 1.986631596194065e-08, 3.856963463180000e-01, 2.458393708370000e-02, -1.173579635230714e-01, 6.977626533913432e-02
13862, 1.339837195535039e-01, -2.779782311006256e-02, -4.998812298444691e-06, 3.331598920996668e-06, 1.987074291961513e-08, 3.853143132350000e-01, 2.402434551620000e-02, -1.158948424494007e-01, 6.786799582689303e-02
13863, 1.317022733038797e-01, -2.783931259233518e-02, -4.999841508473680e-06, 3.331258027821747e-06, 1.987329131526975e-08, 3.849323782210000e-01, 2.346457196820000e-02, -1.143309107909509e-01, 6.610821695912437e-02
13864, 1.290643641879987e-01, -2.787715449394578e-02, -5.000419623717200e-06, 3.330066276894811e-06, 1.987439387597034e-08, 3.845505067760000e-01, 2.290464697660000e-02, -1.124280173960510e-01, 6.421374431249269e-02
13865, 1.274963985229952e-01, -2.790652447165761e-02, -5.001274489418893e-06, 3.329358626871364e-06, 1.988037404942865e-08, 3.841686540660000e-01, 2.234460809780000e-02, -1.113679771046819e-01, 6.298394772341866e-02
13866, 1.297080718381852e-01, -2.793183991186601e-02, -5.002405277179216e-06, 3.332907523209179e-06, 1.988488405233745e-08, 3.837867636280000e-01, 2.178450079410000e-02, -1.131830096578749e-01, 6.425438173935864e-02
13867, 1.267264417724883e-01, -2.796601544905986e-02, -5.006887079854651e-06, 3.344783329858557e-06, 1.988125211161894e-08, 3.834044454700000e-01, 2.122459818950000e-02, -1.102174903390756e-01, 6.333464978683837e-02
13868, 1.191495746626896e-01, -2.799131843167781e-02, -5.017972638967946e-06, 3.370332369563251e-06, 1.989065069118018e-08, 3.830209346180000e-01, 2.066543167930000e-02, -1.029515806715909e-01, 6.057666385604656e-02
13869, 1.108782146200693e-01, -2.801719448492902e-02, -5.035819739872264e-06, 3.411460725837806e-06, 1.990067785772868e-08, 3.826354488620000e-01, 2.010755158470000e-02, -9.487695529619451e-02, 5.776639692789589e-02
13870, 1.072161299418330e-01, -2.803589292566950e-02, -5.057795051558495e-06, 3.462601683509358e-06, 1.991882846314388e-08, 3.822472303530000e-01, 1.955150331250000e-02, -9.102665592582125e-02, 5.693634239460484e-02
13871, 1.125773024581143e-01, -2.806089900387665e-02, -5.076050488018947e-06, 3.507212179048007e-06, 1.992893873682558e-08, 3.818563059780000e-01, 1.899729357960000e-02, -9.557281693502602e-02, 5.983263914775365e-02
13872, 1.191595251090635e-01, -2.808808965765364e-02, -5.085481137617085e-06, 3.531230405120250e-06, 1.992714105421682e-08, 3.814637320640000e-01, 1.844419762780000e-02, -1.019877880267353e-01, 6.218972884169389e-02
13873, 1.262991811882245e-01, -2.811052481318038e-02, -5.085449735873998e-06, 3.532840562417884e-06, 1.991992905275215e-08, 3.810706298140000e-01, 1.789143093110000e-02, -1.093149012266703e-01, 6.420238919141794e-02
13874, 1.315074293465928e-01, -2.812892936954725e-02, -5.077671933855103e-06, 3.518104684815915e-06, 1.990352589507205e-08, 3.806781048620000e-01, 1.733821538290000e-02, -1.147327816179083e-01, 6.553934794513930e-02
13875, 1.279078193308341e-01, -2.814691505105793e-02, -5.071584791957171e-06, 3.506439820410412e-06, 1.988940207776953e-08, 3.802864310600000e-01, 1.678436499500000e-02, -1.119106721257230e-01, 6.328167452195849e-02
13731, 1.665399563484605e-01, -3.871180655535286e-02, -4.339321601082968e-06, 7.674697784089209e-06, 1.846881460564000e-08, 3.500443242220000e-01, 5.641353899100000e-03, 7.186779313624819e-02, -1.506864262214605e-01
13732, 1.368609081158222e-01, -3.134503861929875e-02, -3.548997817989996e-06, 6.129275100093281e-06, 1.498571288904739e-08, 3.505637162780000e-01, 5.940782778940000e-03, 5.668279960827598e-02, -1.253321694972586e-01
13733, 1.413869244323243e-01, -3.134875714466816e-02, -3.556582385168463e-06, 6.122791720973508e-06, 1.499342347630183e-08, 3.510818259430000e-01, 6.242514459830000e-03, 5.976721289852778e-02, -1.287949451849459e-01
13734, 1.434512211758869e-01, -3.136629632126535e-02, -3.547522262961323e-06, 6.144694002840577e-06, 1.499665866145780e-08, 3.516005248740000e-01, 6.543308020310000e-03, 6.365595853102854e-02, -1.288918480861659e-01
13735, 1.532734380101211e-01, -3.137779756125714e-02, -3.542783205467060e-06, 6.145451354091946e-06, 1.499161509731069e-08, 3.521203750140000e-01, 6.842176440310000e-03, 7.420680033930760e-02, -1.341401630694199e-01
13736, 1.621725479439248e-01, -3.136660919599452e-02, -3.572518577724799e-06, 6.109247873756403e-06, 1.501020800019018e-08, 3.526394228130000e-01, 7.142491747520000e-03, 8.357403950051831e-02, -1.389926868692107e-01
13737, 1.615412112560546e-01, -3.133784767086991e-02, -3.621447863107775e-06, 6.030318644556688e-06, 1.502519860248859e-08, 3.531554271320000e-01, 7.448047144480000e-03, 8.456387068353476e-02, -1.376478257496769e-01
13738, 1.627593527780566e-01, -3.130519124193196e-02, -3.670704830504873e-06, 5.946207821273761e-06, 1.504168188692840e-08, 3.536673306480000e-01, 7.760461888380000e-03, 8.409324800866758e-02, -1.393626855551525e-01
13739, 1.655608763533211e-01, -3.127835405747914e-02, -3.710161921918773e-06, 5.876795590257372e-06, 1.505707289875195e-08, 3.541756824370000e-01, 8.078652496940000e-03, 8.449782476027187e-02, -1.424518587643827e-01
